"Row ID","ODR Reference","Data Recipient","Organisation Type","Purpose","Data Source","Data type provided to applicant ","Legal basis for the release of personally identifiable data","Date of release"
"DRR178","ODR1617_097","EUROCARE-6 (Istituto Superiore di Sanit?, Italy)","Academic Institution","The Data Recipient will access cancer registration data to update the EUROCARE database in order to: (1) monitoring variations in cancer survival by European country/region, age, time and gender, by including up-to-date data from an increasing number of registries; (2) extend the use of tumour characteristics that potentially influence treatments and outcome; (3) study both long-term survival and temporal trends in survival by updating information on life status ascertainment for all cancer patients recorded by cancer registries; (4) estimate updated cancer prevalence (complete and by disease duration); (5) estimate updated incidence, survival and prevalence of rare cancers; (6) estimate the proportion of cancer patients who are cured of their disease; and (7) to estimate the number and proportion of avoidable deaths.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-09-20
"DRR165","ODR1516_102","Sheffield University","Academic Institution","The Data Recipient will access cancer registration data to validate a decision support interventions (DESIs) specifically tailored to older women facing the choice between surgery or primary endocrine therapy (PET) or (for women with higher risk cancers), the choice between chemotherapy or no chemotherapy. ","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-09-23
"DRR180","ODR1516_369/A5","University of Leeds","Academic Institution","The Data Recipient will access cancer registration data to perform analyses to support the (1) development of a national colorectal cancer dataset to enhance the extent, timeliness and value of its contents, (2) pioneer the development and application of appropriate statistical methodologies to analyse these complex data (3) monitor clinical performance/outcomes of NHS colorectal cancer services to eliminate inequalities and help improve survival.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-10-12
"DRR181","ODR1617_015","Cheshire East Council","Local Authority","The Data Recipient will access cancer registration data to  investigate cancer incidence rates for a number of cancers across Cheshire East.  Incidence at Middle Layer Super Output Area (MSOA) will be used to construct age-standardised incidence rates for a range of local geographies, to inform the cancer section of the Joint Strategic Needs Assessment (JSNA) and to support our two Clinical Commissioning Groups - NHS Eastern Cheshire and NHS South Cheshire - in developing initiatives to improve early diagnosis rates and reduce the number of emergency presentations for cancer.","National Cancer Registration and Analysis Service","Anonymised","No legal gateway required",2016-10-18
"DRR182","ODR1516_380","University College London","Academic Institution","The Data Recipient will conduct an observational study of the uptake and positivity of gFOBt screening to examine 10-year trends and socioeconomic inequalities in first-time participants of the Bowel Cancer Screening Programme and query if programme uptake has become more socioeconomically equitable over time.","National Bowel Cancer Screening Programme","Anonymised","No legal gateway required",2016-10-28
"DRR183","ODR_2014_408/A1","University of Leeds","Academic Institution","The Data Recipient will conduct a case-control study designed to compare patients who had relapsed from melanoma with those who had survived at least 5 years after diagnosis within the Melanoma Lifestyle Study Cohort. The data shall be used for case ascertainment, validation of baseline data and improving the completeness of pathology data held on the cohort to allow for case-mix adjustment.","National Cancer Registration and Analysis Service","Personally identifiable","Consent",2016-11-01
"DRR184","ODR1516_490/A2","Royal College of Physicians","Independent Sector Organisation","The Data Recipient will access data on lung cancer patients to    complete the annual analysis for the National Lung Cancer Audit reports (2015 to 2020).   The National Lung Cancer Audit is commissioned by the Health Quality Improvement Partnership. It  will audit a combination of process and outcome measures which are closely aligned to the NICE quality  standards (QS) 2012, NICE lung cancer guideline 2011 (GL) and NICE technology appraisals (TA).","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-11-07
"DRR185","ODR1516_490/A1","Royal College of Physicians","Independent Sector Organisation","The Data Recipient will access data on lung cancer patients to    complete the annual analysis for the National Lung Cancer Audit reports (2015 to 2020).   The National Lung Cancer Audit is commissioned by the Health Quality Improvement Partnership. It  will audit a combination of process and outcome measures which are closely aligned to the NICE quality standards (QS) 2012, NICE lung cancer guideline 2011 (GL) and NICE technology appraisals (TA).","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-11-07
"DRR186","ODR1516_460","Guy's and St Thomas' Hospital Foundation Trust","CQC Registered Health or/and Social Care provider","The Data Recipient will conduct an observational  study of patients with a new diagnosis of Lymphoma (but excluding the diagnosis of Hodgkin's Lymphoma), who are aged 15 to 29 years inclusive of the date of diagnosis, and who are diagnosed between January 1st 2015 and December 31st 2017.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2016-11-09
"DRR187","ODR1617_083","North Bristol Trust  & University Hospitals Bristol Foundation Trust","CQC Registered Health or/and Social Care provider","The Data Recipient will conduct a local service evaluation of antenatal detection rates of congenital heart disease (CHD) from 2009-2014. The objective is to see if detection has improved over the period by comparing antenatal, to post- natal CHD data.","National Congenital Anomalies and Rare Disease","Anonymised","No legal gateway required",2016-11-11
"DRR188","ODR1516_364/A","Cancer Research UK","Independent Sector Organisation","The Data Recipient will utilise the data to facilitate the mailing of two versions of a targeted Cancer Research UK & NHS branded personalised bowel cancer screening endorsement letters. The letter will arrive 2 days following an NHS bowel cancer screening test kit, to ensure they are received by patients at a time when the content is most relevant to them. The direct mail activity will run in 27 CCG areas only and will be supported by a CRUK bowel cancer screening advertising campaign during the project period. The advertising campaign aims to raise awareness of the Bowel Cancer Screening Programme and begin to normalise participation, while the direct mail element of the project aims to reduce barriers to participation among those invited and provide a cue to action. To support this activity, a third party mailing company has been engaged.","National Bowel Cancer Screening Programme","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-11-17
"DRR189","ODR1617_012","University of Leeds","Academic Institution","The Data Recipient will conduct a programme of observational studies to investigate (a) the effect of concurrent exposure to metformin on survival from melanoma in patients with type 2 diabetes and (b) the effect of incidental drug exposures, smoking and the obesity related inflammation syndrome on survival from melanoma.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-11-17
"DRR190","ODR1617_204","Birmingham Women?s Hospital NHS Trust","CQC Registered Health or/and Social Care provider","The Data Recipient will access National Congenital Anomalies and Rare Disease Data to conduct a service evaluation of Trisomies specimens sent to Cyto Lab from Birmingham Women?s Hospital NHS Trust to  complete trust SQAS screening annual report 2015/16","National Congenital Anomalies and Rare Disease","Personally identifiable","Direct Care",2016-11-22
"DRR191","ODR1516_259/A2","TraceMedia Projects","Commercial","The Data Recipient will access linked cancer registration data to visualise the patient pathway in two distinct ways (1) to plot each event for a patient to give a very detailed view and (2) to produce a summary for the length of each patient's pathway. The tools are being designed for clinical staff to view details of their patients easily and identify anything untoward in a pathway, such as delays, with ease, as well as for commissioners and trusts to better performance manage pathways by being able to easily see pathway lengths, events and which provider is responsible for which part. The data supplied will be perturbed. This work is commissioned by PHE.","National Cancer Registration and Analysis Service","Anonymised ","No legal gateway required",2016-11-25
"DRR192","ODR1516_410","Papworth Trust","CQC Registered Health or/and Social Care provider","The Data Recipient has a remit to collect, process and despatch human tissue, pleural fluid and blood samples from NHS patients with clinically proven mesothelioma to support asbestos related research.  Through data linkage with the National Cancer Registration and Analysis Service (NCRAS)  and in line with the consent given by patients, the Data Recipient will link these samples to information on the patient's diagnosis, treatment and health status. Clinical annotated samples will be available to researchers in both publicly or charitably funded institutions as well as those in commercial organisations in the UK, EEA, Australia, New Zealand, USA and Canada.","National Cancer Registration and Analysis Service","Personally identifiable","Consent and Regulation 5 (s251)",2016-11-30
"DRR193","ODR1617_131","Genomics England Ltd","Other Health and Social Care System Public Body","The Data Recipient will create an observational research database combining genomic sequence data with medical records. Through the 100,000 Genome Project, researchers will study how best to use genomics in healthcare and how best to interpret the data to help patients. This release is for a sub-cohort of the patients who have consented to be part of the 100,000 Genome Project only (~600 patients).","National Cancer Registration and Analysis Service","Personally identifiable","Consent",2016-12-23
"DRR194","ODR1516_447","North Tees and Hartlepool NHS Foundation Trust","CQC Registered Health or/and Social Care provider","The Data Recipient will process bowel screening data to determine the adenoma, advanced adenoma and cancer yield of each colonoscopy surveillance cohort within the Bowel Screening Programme and to (1) determine the factors (adenoma and subject specific) at screening and surveillance which can predict the outcome of further surveillance and (2) determine the criteria on which to stop post-polypectomy surveillance.","National Bowel Cancer Screening Programme","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2017-01-03
"DRR195","ODR1516_470","Institute of Cancer Research","Academic Institution","The Data Recipient will access cancer registration data to investigate the range of long-term late-effects of treatment in young women with Hodgkin Lymphoma (HL), in order to improve understanding of the risks of their treatment, and to create a unique risk profile of incidence and severity of multiple long term co?morbidities. The evidence generated in this study will enable clinicians and patients to understand patients? personalised risk profile when deciding on and consenting for treatment, and when managing follow-up and screening for late-effects.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2017-01-05
"DRR196","ODR1516_313/A1","University of Cambridge","Academic Institution","The Data Recipient will explore how nephrectomy services in England have evolved in response to the 2002 NICE recommendation on service reconfiguration. This analysis will include (1) examining changes to the numbers and types of nephrectomy performed in English hospitals and how service restructuring may have influenced surgeons? choice for performing specific types of nephrectomy; (2) determining if renal cancer service centralisation has resulted in improvements in short-term surgical and long-term oncological outcomes; and (3)  characterising the relationship between hospital and surgeon case volume and surgical and oncological outcomes. As a result of the analysis, e a novel renal cancer prognostic model that can be used at the point of care to assist in management decision will be developed and validated.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2017-01-11
"DRR197","ODR1516_311","Imperial College London","Academic Institution","The Data Recipient will examine the effectiveness, cost and cost effectiveness of the distribution of a letter to promote update of bowel screening. The evaluation will study the efficacy and effectiveness of four interventions were tested: I) a supplementary ?Gist? leaflet summarising key information in simple language ii) a supplementary ?Narrative? leaflet describing people?s stories , iii) General Practitioner (GP) endorsement on the invitation letter and iv) an Enhanced Reminder letter that reiterated the screening offer.","National Bowel Cancer Screening Programme","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2017-01-16
"DRR198","ODR1516_369/A6","University of Leeds","Academic Institution","The Data Recipient will access cancer registration data to perform analyses to support the (1) development of a the national colorectal cancer dataset to enhance the extent, timeliness and value of its contents, (2) pioneer the development and application of appropriate statistical methodologies to analyse these complex data (3) monitor clinical performance/outcomes of NHS colorectal cancer services to eliminate inequalities and help improve survival.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2017-01-24
"DRR199","ODR1617_022","University of Bristol","Academic Institution","The Data Recipient will access cancer registration data to support the Effectiveness of Prostate Cancer Screening Study which is a pragmatic, cluster RCT that compares an invitation to attend for population-based PSA-testing for prostate cancer (intervention arm) with standard NHS care (control arm) amongst men aged 50 to 69 years registered with GP practices in eight centres in England and Wales. Recruitment to the DH/CRUK-funded CAP trial was completed in 2009 and it is currently in the follow-up phase.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2017-01-26
"DRR200","ODR1617_013","Royal Liverpool and Broadgreen University Hospitals NHS Trust","CQC Registered Health or/and Social Care provider","The Data Recipient will conduct a local clinical audit approximately 450 new breast cancers diagnosed at the  Royal Liverpool and Broadgreen University Hospitals NHS Trust  in order to assess the efficacy of the treatment that we provide, and compare this with other centres.","National Cancer Registration and Analysis Service","Personally identifiable","Direct Care",2017-02-01
"DRR201","ODR1516_369/A8","University of Leeds","Academic Institution","The Data Recipient will access cancer registration data to perform analyses to support the (1) development of a the national colorectal cancer dataset to enhance the extent, timeliness and value of its contents, (2) pioneer the development and application of appropriate statistical methodologies to analyse these complex data (3) monitor clinical performance/outcomes of NHS colorectal cancer services to eliminate inequalities and help improve survival.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2017-02-02
"DRR202","ODR1617_024","City University London","Academic Institution","The Data Recipient will access cancer registration data to provide new evidence on the main drivers of cancer costs in England. The study will investigate the relative contribution of route to diagnosis, accessibility of health services and patient characteristics to the lifetime costs of cancer.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2017-02-06
"DRR203","ODR1617_181","North Tees and Hartlepool NHS Foundation Trust","CQC Registered Health or/and Social Care provider","The Data Recipient will access congenital and rare disease data to conduct a clinical audit to assess current medical surveillance of all children with Down Syndrome within North Tees and Hartlepool NHS Foundation Trust and compliance with Royal College of Paediatrics and Child Health and Down Syndrome Medical Interest Group guidelines.","National Congenital Anomalies and Rare Disease","Personally identifiable","Direct Care",2017-02-06
"DRR204","ODR_2014_128","Clinical Practice Research DataLink","Government Agency (Health and Adult Social Care)","The Data Recipient will investigate the  relative risk of cancer based on different case definitions between the CPRD and cancer registry. In addition, the Data Recipient will describe the completeness of cancer related data (which may help with studies that are investigating disease severity) between the CPRD and cancer registry, as this has still had relatively little use among published studies.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","Regulation 5 (s251)",2017-02-14
"DRR205","ODR1516_364/B","Cancer Research UK","Independent Sector Organisation","The Data Recipient will engage a data processor to send to personalised bowel cancer screening endorsement letter to patients who were mailed an NHS bowel cancer screening test kit 2 days prior. The direct mail activity will run in 27 CCG areas only and will be supported by a CRUK bowel cancer screening advertising campaign during the project period. The advertising campaign aims to raise awareness of the Bowel Cancer Screening Programme and begin to normalise participation, while the direct mail element of the project aims to reduce barriers to participation among those invited and provide a cue to action.","National Bowel Cancer Screening Programme","Personally identifiable","Regulation 5 (S251)",2017-02-15
"DRR206","ODR1617_121","Royal National Orthopaedic Hospital NHS Trust","CQC Registered Health or/and Social Care provider","The Data Recipient will access cancer registration data to investigate unwanted variation in clinical practice and/or divergence from the best evidence; in lung, head and neck and gynaecological cancers. The work will culminate 14 in a national report and set of national recommendations aimed at improving quality of care and reducing expenditure on complications, litigation, procurement and unproven treatment. This work will also support the development of the ?Model hospital? (another NHS Improvement programme within the Clinical Quality and Efficiency programme), which will allow Trusts to compare themselves with quality indicators and standards for each clinical specialty.","National Cancer Registration and Analysis Service","Anonymised ","No legal gateway required",2017-02-28
"DRR207","ODR1617_346","NHS Digital","Government Agency (Health and Adult Social Care)","The Data Recipient  will act as a 3rd party linkage service to support the linkage of pseudonymised patient level data held by the Clinical Practice Research Datalink (CPRD) to cancer registration data.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2017-03-02
"DRR208","ODR1617_171","Cambridge University Hospitals NHS Trust","CQC Registered Health or/and Social Care provider","The Data Recipient will access cancer registration data to explore the prognostic factors associated with prostate cancer-specific and overall mortality amongst men with non-metastatic disease. The study aims to (1) explore the prognostic factors associated with prostate-cancer-specific and overall mortality, and the impact of different treatment modalities on these outcomes; (2) develop a web-based personalised risk prediction tool that estimates risk of cancer-specific and overall mortality in men with newly-diagnosed non-metastatic prostate cancer, and models the impact of different treatment modalities on this risk (3) validate the tool externally; and (4) test the tool in the clinical environment","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2017-03-14
"DRR209","ODR1617_070","Royal College of Surgeons of England","Independent Sector Organisation","The Data Recipient will access cancer registration data to support the National Bowel Cancer Audit which aims to improve the quality of care and survival of patients with bowel cancer, and meets the requirements as set out in the NHS cancer plan, NICE guidelines and the report of the Bristol Royal Infirmary inquiry. Through linkage with cancer registration data held by the National Cancer Registration and Analysis Service, the audit will (1) assess how best to elicit PROMs in bowel cancer patients for the purpose of clinical audit and service evaluation, including the optimum point in the patient pathway to elicit PROMs and how best to achieve maximum coverage across all patient groups; (2) describe the overall pattern of care for bowel cancer patients, both in terms of the patients receiving neo-adjuvant/adjuvant chemotherapy and those receiving palliative chemotherapy.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2017-03-14
"DRR210","ODR1617_275","University of Oxford","Academic Institution","The Data Recipient will, on behalf of PHE Screening, examine (a) how wide bore needle (wbn) rates are associated with cancer detection rates and (b) whether outliers can be used as an early warning of underperformance at triple assessment.","National Breast Cancer Screening Programme","Anonymised ","No legal gateway required",2017-03-15
"DRR211","ODR1617_136","Guy's and St Thomas' NHS Foundation Trust","CQC Registered Health or/and Social Care provider","The Data Recipient will access cancer registration data to  develop a comprehensive geriatric assessment (CGA) directed approach for the treatment of elderly diffuse large B cell lymphoma.","National Cancer Registration and Analysis Service","Anonymised ","No legal gateway required",2017-03-21
"DRR212","ODR1617_033","London School of Hygiene and Tropical Medicine","Academic Institution","The Data Recipient will access cancer registration data to CONCORD-3 examine world-wide cancer survival trends up to 2014 for the 15 malignancies (stomach, colon, rectum, liver, lung, breast, cervix, ovary, prostate,  oesophagus, pancreas, melanoma, alongside leukaemias, lymphomas and brain tumours in adults and children. These 15 cancers represent 75% of the global cancer burden.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2017-03-23
"DRR213","ODR1516_369/A9","University of Leeds","Academic Institution","The Data Recipient will access cancer registration data to perform analyses to support the (1) development of a the national colorectal cancer dataset to enhance the extent, timeliness and value of its contents, (2) pioneer the development and application of appropriate statistical methodologies to analyse these complex data (3) monitor clinical performance/outcomes of NHS colorectal cancer services to eliminate inequalities and help improve survival.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2017-03-29
"DRR214","ODR1516_313/A2","University of Cambridge","Academic Institution","The Data Recipient will explore how nephrectomy services in England have evolved in response to the 2002 NICE recommendation on service reconfiguration. This analysis will include (1) examining changes to the numbers and types of nephrectomy performed in English hospitals and how service restructuring may have influenced surgeons? choice for performing specific types of nephrectomy; (2) determining if renal cancer service centralisation has resulted in improvements in short-term surgical and long-term oncological outcomes; and (3)  characterising the relationship between hospital and surgeon case volume and surgical and oncological outcomes. As a result of the analysis, e a novel renal cancer prognostic model that can be used at the point of care to assist in management decision will be developed and validated.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2017-03-29
"DRR215","ODR1516_255","University of Oxford","Academic Institution","The Data Recipient will access cancer registration data to  conduct a retrospective cohort study  of women diagnosed diagnosed with breast cancer from 1971 to 2014.  The study will aim to (i) characterise the risk of developing invasive breast cancer among women diagnosed with a non-invasive breast cancer, and the factors that determine this risk.; (2) characterise the risk of death from breast cancer in women diagnosed with a non-invasive breast cancer, and the factors that determine this risk; and (3) characterise the risk of developing a further non-invasive breast cancer among women who have already been diagnosed with one non-invasive breast cancer, and the factors that determine this.","National Cancer Registration and Analysis Service","De-personalised","No legal gateway required",2017-01-28
